MERCADINHO FABIANO LTDA  ME,R LEOPOLDO BIER 814;
MERCADO BERTOLETTI LTDA,R SAO PEDRO-LOMBA DO PINHEIRO 705;
MERCADO BINABI LTDA,R MAIAS, 920/2;
MERCADO CEJEC LTDA,R GOMES DE FREITAS, 256;
MERCADO COSTA E OLIVEIRA LTDA ME,R TEN ARY TARRAGO, 2060/1;
MERCADO DA CASA LTDA,AV CEL LUCAS DE OLIVEIRA, 1725;
MERCADO DANILO LTDA ME,R RAMIRO BARCELOS, 2089;
MERCADO DAS FLORES LTDA,R ANGELO DOURADO, 185;
MERCADO DAS PIZZAS COMERCIO E SERVICOS LTDA,R ZECA NETO, 227;
MERCADO DE IDEIAS COMERCIO DE ALIMENTOS LTDA,LE MERCADO PUBLICO CENTRAL-GALERIA, 1/102;
MERCADO DO LANCHE LTDA ME,R ARABUTAN, 926;
MERCADO DO SAPATO COMERCIO DE CALCADOS LTDA,AV DR NILO PECANHA, 2245/2;
MERCADO DU HELIO LTDA,AV MARTIM FELIX BERTA, 475;
MERCADO DU PET PRODUTOS AGROPECUARIOS LTDA - ME,AV JULIO DE CASTILHOS, 19/6;
MERCADO E CASA DE CARNES KAIBER LTDA - ME,R ALBERTO SILVA, 685;
MERCADO E FERRAGEM SPINELLI LTDA - EPP,R ANTAO DE FARIAS, 90;
MERCADO E FRUTEIRA RADAELLI LTDA,R RIACHUELO, 921;
MERCADO E PADARIA BORTOLINI CE LTDA,R BARAO DE UBA, 9;
MERCADO ESPEZIM LTDA,R BARAO DO AMAZONAS, 1410;
MERCADO FORTE LTDA,R SANTANA, 340;
MERCADO IDEAL LTDA,R ROQUE CALAGE, 277;
MERCADO IRMAOS CONSTANTE LTDA ME,AV CLOVIS PAIM GRIVOT, 165;
MERCADO J.H. LTDA,AV MARTIM FELIX BERTA, 415;
MERCADO JARDIM CARVALHO LTDA,R SARGENTO MANOEL ARRUDA, 325;
MERCADO JARDIM DAS PALMEIRAS LTDA ME,R ANGELO BARBOZA, 290;
MERCADO L.S.DOS SANTOS LTDA -EPP,R CONDE DA FIGUEIRA, 158;
MERCADO LACERDA SENRA LTDA,AV DONARIO BRAGA, 122;
MERCADO LOLE LTDA,AV CAPIVARI, 843;
MERCADO LUCENA LTDA,AV BERNARDI, 481;
MERCADO LUGUIS LTDA,AV BERNARDINO SILVEIRA DE AMORIM, 2045;
MERCADO MACHADO & ALMEIDA LTDA - EPP,AV SOUZA MELO, 277;
MERCADO MANBIELLI LTDA - ME,AV ASSIS BRASIL, 1508;
MERCADO MASCHIO LTDA - ME,R AMOROSO COSTA, 3;
MERCADO MATEUS - ME,R CEL CLAUDINO, 446;
MERCADO MELHOR LTDA,R CAIRU, 1477;
MERCADO MOINHO LTDA,R LUCIANA DE ABREU, 361;
MERCADO MONEGAT LTDA,R BOTAFOGO, 919;
MERCADO MOSSMANN LTDA - EPP,AV MONTE CRISTO, 510;
MERCADO NECO´S LTDA,AV PROF OSCAR PEREIRA, 2313;
